Label (Grouping),Massachusetts!!Total!!Estimate,Massachusetts!!Total!!Margin of Error,Massachusetts!!Percent!!Estimate,Massachusetts!!Percent!!Margin of Error,Massachusetts!!Male!!Estimate,Massachusetts!!Male!!Margin of Error,Massachusetts!!Percent Male!!Estimate,Massachusetts!!Percent Male!!Margin of Error,Massachusetts!!Female!!Estimate,Massachusetts!!Female!!Margin of Error,Massachusetts!!Percent Female!!Estimate,Massachusetts!!Percent Female!!Margin of Error,"Boston city, Massachusetts!!Total!!Estimate","Boston city, Massachusetts!!Total!!Margin of Error","Boston city, Massachusetts!!Percent!!Estimate","Boston city, Massachusetts!!Percent!!Margin of Error","Boston city, Massachusetts!!Male!!Estimate","Boston city, Massachusetts!!Male!!Margin of Error","Boston city, Massachusetts!!Percent Male!!Estimate","Boston city, Massachusetts!!Percent Male!!Margin of Error","Boston city, Massachusetts!!Female!!Estimate","Boston city, Massachusetts!!Female!!Margin of Error","Boston city, Massachusetts!!Percent Female!!Estimate","Boston city, Massachusetts!!Percent Female!!Margin of Error"
AGE BY EDUCATIONAL ATTAINMENT,,,,,,,,,,,,,,,,,,,,,,,,
    Population 18 to 24 years,"707,064","2,951",(X),(X),"348,569","2,145",(X),(X),"358,495","1,885",(X),(X),"102,279","1,959",(X),(X),"46,592","1,465",(X),(X),"55,687","1,655",(X),(X)
        Less than high school graduate,"62,907","5,152",8.90%,0.7,"35,108","3,789",10.10%,1.1,"27,799","3,409",7.80%,1,"4,301","1,781",4.20%,1.7,"2,398","1,411",5.10%,3,"1,903",995,3.40%,1.8
        High school graduate (includes equivalency),"250,639","7,386",35.40%,1,"130,943","4,990",37.60%,1.4,"119,696","5,716",33.40%,1.5,"30,391","3,106",29.70%,3.1,"13,734","2,600",29.50%,5.5,"16,657","2,194",29.90%,3.9
        Some college or associate's degree,"252,312","7,326",35.70%,1,"119,567","5,254",34.30%,1.5,"132,745","5,883",37.00%,1.7,"41,208","3,305",40.30%,3.2,"18,804","2,480",40.40%,5.2,"22,404","2,288",40.20%,4
        Bachelor's degree or higher,"141,206","6,450",20.00%,0.9,"62,951","3,984",18.10%,1.1,"78,255","4,919",21.80%,1.4,"26,379","2,901",25.80%,2.6,"11,656","2,034",25.00%,4.3,"14,723","1,901",26.40%,3.3
    Population 25 years and over,"5,074,342","2,955",(X),(X),"2,443,308","2,484",(X),(X),"2,631,034","2,107",(X),(X),"472,826","3,478",(X),(X),"225,204","2,728",(X),(X),"247,622","2,744",(X),(X)
        Less than 9th grade,"227,771","10,045",4.50%,0.2,"115,893","6,603",4.70%,0.3,"111,878","6,400",4.30%,0.2,"33,192","4,354",7.00%,0.9,"15,117","2,795",6.70%,1.2,"18,075","2,613",7.30%,1.1
"        9th to 12th grade, no diploma","208,876","9,877",4.10%,0.2,"110,629","7,117",4.50%,0.3,"98,247","6,257",3.70%,0.2,"20,572","3,111",4.40%,0.7,"8,611","2,119",3.80%,0.9,"11,961","1,957",4.80%,0.8
        High school graduate (includes equivalency),"1,128,382","19,095",22.20%,0.4,"593,029","13,194",24.30%,0.5,"535,353","11,508",20.30%,0.4,"84,962","5,511",18.00%,1.2,"47,078","4,364",20.90%,1.9,"37,884","3,338",15.30%,1.3
"        Some college, no degree","700,154","15,160",13.80%,0.3,"337,877","11,169",13.80%,0.5,"362,277","11,099",13.80%,0.4,"50,273","4,731",10.60%,1,"25,543","3,841",11.30%,1.7,"24,730","2,920",10.00%,1.2
        Associate's degree,"359,589","11,839",7.10%,0.2,"146,364","7,010",6.00%,0.3,"213,225","8,309",8.10%,0.3,"21,892","3,474",4.60%,0.7,"8,529","1,896",3.80%,0.8,"13,363","2,446",5.40%,1
        Bachelor's degree,"1,305,232","16,779",25.70%,0.3,"633,328","12,569",25.90%,0.5,"671,904","11,830",25.50%,0.5,"131,236","5,755",27.80%,1.2,"60,937","3,860",27.10%,1.7,"70,299","4,293",28.40%,1.7
        Graduate or professional degree,"1,144,338","16,341",22.60%,0.3,"506,188","11,045",20.70%,0.4,"638,150","10,050",24.30%,0.4,"130,699","7,103",27.60%,1.5,"59,389","4,352",26.40%,1.9,"71,310","4,106",28.80%,1.6
        High school graduate or higher,"4,637,695","13,779",91.40%,0.3,"2,216,786","9,067",90.70%,0.4,"2,420,909","8,880",92.00%,0.3,"419,062","5,954",88.60%,1.1,"201,476","3,506",89.50%,1.3,"217,586","4,568",87.90%,1.3
