Label (Grouping),Massachusetts!!Number!!Estimate,Massachusetts!!Number!!Margin of Error,Massachusetts!!Percent Distribution!!Estimate,Massachusetts!!Percent Distribution!!Margin of Error,Massachusetts!!Mean income (dollars)!!Estimate,Massachusetts!!Mean income (dollars)!!Margin of Error,"Boston city, Massachusetts!!Number!!Estimate","Boston city, Massachusetts!!Number!!Margin of Error","Boston city, Massachusetts!!Percent Distribution!!Estimate","Boston city, Massachusetts!!Percent Distribution!!Margin of Error","Boston city, Massachusetts!!Mean income (dollars)!!Estimate","Boston city, Massachusetts!!Mean income (dollars)!!Margin of Error"
HOUSEHOLD INCOME,,,,,,,,,,,,
    All households,"2,829,804","9,140","2,829,804","9,140","144,312","1,304","294,977","3,333","294,977","3,333","138,724","5,206"
        With earnings,"2,226,456","11,252",78.70%,0.3,"149,436","1,513","238,679","5,436",80.90%,1.4,"147,632","4,750"
            With wages or salary income,"2,160,543","12,511",76.30%,0.4,"146,494","1,441","234,329","5,448",79.40%,1.5,"145,324","4,915"
            With self-employment income,"310,653","9,386",11.00%,0.3,"52,170","3,270","27,637","2,832",9.40%,1,"42,809","12,737"
"        With interest, dividends, or net rental income","725,865","13,198",25.70%,0.5,"32,557","2,251","71,037","4,722",24.10%,1.5,"36,528","10,365"
        With Social Security income,"872,672","10,854",30.80%,0.4,"25,232",325,"63,049","3,320",21.40%,1.1,"21,709","1,387"
        With Supplemental Security Income (SSI),"151,041","6,430",5.30%,0.2,"10,918",348,"20,624","3,177",7.00%,1.1,"10,561",768
        With cash public assistance income or Food Stamps/SNAP,"454,353","10,564",16.10%,0.4,(X),(X),"65,125","3,882",22.10%,1.3,(X),(X)
            With cash public assistance,"95,822","5,743",3.40%,0.2,"4,294",300,"12,078","2,060",4.10%,0.7,"4,057",761
        With retirement income,"669,715","11,545",23.70%,0.4,"36,493","1,258","42,204","3,351",14.30%,1.1,"29,753","2,896"
        With other types of income,"219,633","7,679",7.80%,0.3,"15,991",767,"15,894","2,481",5.40%,0.8,"12,437","2,131"
FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY,,,,,,,,,,,,
    All families,"1,761,366","13,364","1,761,366","13,364","174,000","1,658","130,183","5,138","130,183","5,138","165,069","10,433"
        No workers,"224,175","8,094",12.70%,0.5,"87,875","4,196","16,263","1,962",12.50%,1.6,"66,425","22,918"
        1 worker,"471,776","10,336",26.80%,0.6,"127,573","4,182","39,338","4,118",30.20%,2.8,"124,452","27,512"
"        2 workers, both spouses worked","581,201","10,291",33.00%,0.5,"230,694","3,605","38,018","3,482",29.20%,2.3,"258,072","17,673"
"        2 workers, other","206,666","8,709",11.70%,0.5,"139,954","4,948","19,723","2,608",15.20%,2,"132,882","16,802"
"        3 or more workers, both spouses worked","198,427","7,923",11.30%,0.4,"250,850","6,348","9,461","1,810",7.30%,1.3,"205,289","29,582"
"        3 or more workers, other","79,121","5,818",4.50%,0.3,"174,588","9,002","7,380","1,882",5.70%,1.4,"154,300","19,339"
PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN,,,,,,,,,,,,
    Total population,"7,136,171",,"7,136,171",,"57,789",503,"673,822","3,086","673,822","3,086","60,885","2,082"
        One race,,,,,,,,,,,,
            White,"4,761,129","19,095",66.70%,0.3,"65,979",687,"310,697","6,099",46.10%,0.9,"87,062","3,816"
            Black or African American,"489,490","13,494",6.90%,0.2,"36,888","1,518","131,495","7,270",19.50%,1.1,"32,877","2,912"
            American Indian and Alaska Native,"17,332","4,054",0.20%,0.1,"32,406","7,663","2,603","1,114",0.40%,0.2,"34,728","10,944"
            Asian,"551,579","6,516",7.70%,0.1,"65,775","2,526","72,846","3,171",10.80%,0.5,"56,452","8,804"
            Native Hawaiian and Other Pacific Islander,"1,265",458,0.00%,0.1,"48,410","31,863",106,144,0.00%,0.1,N,N
            Some other race,"449,063","19,035",6.30%,0.3,"31,138","1,834","42,569","6,118",6.30%,0.9,"28,618","4,159"
        Two or more races,"866,313","28,231",12.10%,0.4,"33,844",987,"113,506","10,064",16.80%,1.5,"37,266","3,514"
        Hispanic or Latino origin (of any race),"998,795",743,14.00%,0.1,"31,110",919,"139,222","4,915",20.70%,0.7,"31,632","2,301"
"        White alone, not Hispanic or Latino","4,638,530","13,520",65.00%,0.2,"66,749",687,"297,111","5,113",44.10%,0.7,"89,252","3,862"
